Num.RBD,geometry,x,y,values
7662,POINT (176634.64711765095 5406140.615188823),176634.64711765095,5406140.615188823,-123678076.91432491
7685,POINT (173523.94000050297 5406616.630657334),173523.94000050297,5406616.630657334,-123733922.4766806
22702,POINT (173395.2593320454 5407965.355188768),173395.2593320454,5407965.355188768,-123731568.78476843
40268,POINT (173083.57309369434 5408498.00648342),173083.57309369434,5408498.00648342,-123735460.81691892
22499,POINT (173518.030892051 5408813.081560856),173518.030892051,5408813.081560856,-123726325.77890448
22418,POINT (172877.04469358933 5409093.137338711),172877.04469358933,5409093.137338711,-123737189.51910864
40444,POINT (172601.43753371132 5409479.959049924),172601.43753371132,5409479.959049924,-123740925.35776605
22641,POINT (212421.81711709365 5348407.200157061),212421.81711709365,5348407.200157061,-123214039.810356
7769,POINT (210228.28126752173 5375222.2499779025),210228.28126752173,5375222.2499779025,-123162491.02628125
7754,POINT (214404.92467222735 5380918.201669149),214404.92467222735,5380918.201669149,-123065307.75238466
7739,POINT (203324.54113236215 5432092.436581611),203324.54113236215,5432092.436581611,-123095393.65695904
7740,POINT (203241.95749643625 5432090.344263571),203241.95749643625,5432090.344263571,-123096924.1048638
22427,POINT (203005.19151141949 5459945.051990671),203005.19151141949,5459945.051990671,-123006374.44195607
7493,POINT (198848.0124899483 5466661.21021778),198848.0124899483,5466661.21021778,-123059890.18186246
7489,POINT (198347.90541237994 5470573.041800507),198347.90541237994,5470573.041800507,-123055757.85020499
7452,POINT (209623.4798403922 5481383.133117393),209623.4798403922,5481383.133117393,-122812398.28251033
7464,POINT (209235.9661514007 5485945.633229976),209235.9661514007,5485945.633229976,-122804141.70829898
8404,POINT (273495.20783257193 4869677.001033497),273495.20783257193,4869677.001033497,-123730900.93105958
8405,POINT (266451.7939043876 4879840.165790038),266451.7939043876,4879840.165790038,-123835195.4489485
24232,POINT (262798.91553576745 4921921.116652758),262798.91553576745,4921921.116652758,-123754672.5169844
8357,POINT (260473.81460920518 4933268.161995505),260473.81460920518,4933268.161995505,-123759688.21653691
24243,POINT (261801.26508122883 4947112.620172122),261801.26508122883,4947112.620172122,-123683099.34684087
24226,POINT (261545.80328917384 4947154.139360143),261545.80328917384,4947154.139360143,-123688017.86782283
24240,POINT (259125.41750296197 4947095.077561966),259125.41750296197,4947095.077561966,-123736254.24195682
24237,POINT (260895.7810626534 4947463.0015039),260895.7810626534,4947463.0015039,-123699796.3604275
8353,POINT (260561.62116987212 4947619.619267954),260561.62116987212,4947619.619267954,-123705858.61970715
8346,POINT (261190.43240133548 4947838.054060245),261190.43240133548,4947838.054060245,-123692592.21021628
8394,POINT (291702.4457047016 4841503.844948702),291702.4457047016,4841503.844948702,-123466206.02649501
887074,POINT (291169.00020408555 4841670.000697546),291169.00020408555,4841670.000697546,-123476384.29575312
24216,POINT (291169.00020408555 4841670.000697546),291169.00020408555,4841670.000697546,-123476384.29575312
8356,POINT (273231.07614763133 4923158.832508908),273231.07614763133,4923158.832508908,-123542338.19667847
8362,POINT (273740.1608373407 4997562.055403148),273740.1608373407,4997562.055403148,-123266415.93187863
8371,POINT (272404.89844301384 5097571.184537734),272404.89844301384,5097571.184537734,-122941789.2739713
22138,POINT (266710.2687980371 5162777.016160697),266710.2687980371,5162777.016160697,-122826355.38608964
8339,POINT (273557.24751506076 5166779.8391822),273557.24751506076,5166779.8391822,-122681157.2525458
8337,POINT (266520.0213635876 5208625.895253422),266520.0213635876,5208625.895253422,-122673003.08147639
8331,POINT (266741.98592615844 5214734.719143696),266741.98592615844,5214734.719143696,-122647965.92623128
8358,POINT (290929.79947842396 4912470.010863085),290929.79947842396,4912470.010863085,-123227498.0153175
8361,POINT (286960.7718730356 4983483.9070675345),286960.7718730356,4983483.9070675345,-123055344.64641081
8372,POINT (288395.8031527315 4999670.95643604),288395.8031527315,4999670.95643604,-122970305.61429703
8341,POINT (283407.166120695 5164273.75866663),283407.166120695,5164273.75866663,-122500520.25879562
7116,POINT (269588.0008173577 5559506.000680672),269588.0008173577,5559506.000680672,-121462357.36499296
6043,POINT (267217.00022170215 5637926.000627222),267217.00022170215,5637926.000627222,-121257937.72473556
6031,POINT (266908.2508231016 5641094.06649127),266908.2508231016,5641094.06649127,-121253567.09264196
6083,POINT (271578.0002386049 5641360.000785214),271578.0002386049,5641360.000785214,-121168726.10160552
6039,POINT (266923.0003785087 5641478.000465883),266923.0003785087,5641478.000465883,-121252099.12227552
6049,POINT (274237.00076774694 5649456.000991326),274237.00076774694,5649456.000991326,-121095679.319959
